dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7
1.119504570960998535e-01,-4.327336549758911133e-01,3.945504128932952881e-01,7.247081398963928223e-02,2.590324282646179199e-01,-2.126716971397399902e-01,-4.877054393291473389e-01,-2.554125785827636719e-01
5.060412883758544922e-01,6.491703391075134277e-01,4.259538948535919189e-01,-2.263906002044677734e-01,-6.005856990814208984e-01,6.427348256111145020e-01,4.119979739189147949e-01,4.487375915050506592e-02
6.912292242050170898e-01,7.087748646736145020e-01,2.888080477714538574e-01,-3.469102084636688232e-02,-8.224369287490844727e-01,7.139217853546142578e-01,3.741156160831451416e-01,-1.598931849002838135e-01
2.493889927864074707e-01,5.705703794956207275e-02,2.791913747787475586e-01,-2.192389965057373047e-02,-6.963133811950683594e-02,2.080250978469848633e-01,-5.780550092458724976e-02,-3.091090917587280273e-02
3.483617901802062988e-01,2.722641825675964355e-02,1.627477258443832397e-01,-2.543410956859588623e-01,-4.788375496864318848e-01,7.474631816148757935e-02,1.953368782997131348e-01,-1.651385128498077393e-01
7.299866676330566406e-01,9.292435646057128906e-01,3.129355311393737793e-01,-3.488851785659790039e-01,-1.123704433441162109e+00,6.070195436477661133e-01,1.999009847640991211e-01,-7.366776466369628906e-01
2.565497159957885742e-01,2.477540522813796997e-01,3.812453746795654297e-01,-3.236671090126037598e-01,-3.300283849239349365e-01,2.667447626590728760e-01,1.290250569581985474e-01,1.440840065479278564e-01
4.446136355400085449e-01,3.362298011779785156e-01,5.072778463363647461e-02,-3.084942102432250977e-01,-6.380223035812377930e-01,2.258675694465637207e-01,6.090427562594413757e-02,-4.024437069892883301e-01
4.313729405403137207e-01,2.270306497812271118e-01,1.781417578458786011e-01,-2.057413756847381592e-01,-5.431410670280456543e-01,3.705187439918518066e-01,2.322691977024078369e-01,8.213937282562255859e-03
-2.658921480178833008e-02,-4.637634158134460449e-01,3.691902160644531250e-01,2.476503252983093262e-01,3.342967033386230469e-01,5.475578457117080688e-02,-2.407066076993942261e-01,8.648812770843505859e-02
4.352073073387145996e-01,2.850410342216491699e-01,5.045074224472045898e-01,-2.584887742996215820e-01,-7.436098456382751465e-01,2.756040096282958984e-01,1.251208931207656860e-01,7.622770220041275024e-02
2.118973135948181152e-01,-1.199471801519393921e-01,2.365071177482604980e-01,7.963910698890686035e-03,-1.062175929546356201e-01,8.573009818792343140e-02,-4.146155342459678650e-02,2.253606915473937988e-03
7.959682941436767578e-01,6.647476553916931152e-01,5.922033190727233887e-01,-9.824162721633911133e-02,-1.163808822631835938e+00,6.510579586029052734e-01,3.476895987987518311e-01,-3.706628084182739258e-01
2.211647629737854004e-01,-3.100433349609375000e-01,1.773063987493515015e-01,-2.940717339515686035e-02,9.181663393974304199e-03,-1.531552672386169434e-01,-2.428031712770462036e-01,-9.480702877044677734e-02
4.669370353221893311e-01,3.884457349777221680e-01,1.911849826574325562e-01,-1.201673150062561035e-01,-4.618507027626037598e-01,3.912735283374786377e-01,2.036906927824020386e-01,-2.793219685554504395e-02
4.786906242370605469e-01,4.148953557014465332e-01,3.336467146873474121e-01,-2.047773152589797974e-01,-7.515947222709655762e-01,5.834807157516479492e-01,3.574986457824707031e-01,1.109734177589416504e-02
2.477904558181762695e-01,-2.141964137554168701e-01,2.248116582632064819e-01,5.310159921646118164e-02,-6.436322629451751709e-02,-7.430829107761383057e-03,-2.123402655124664307e-01,-1.463430821895599365e-01
4.327633082866668701e-01,1.432899534702301025e-01,5.217528343200683594e-01,-2.003086060285568237e-01,-5.998916029930114746e-01,6.283336877822875977e-02,1.571058481931686401e-01,1.515192985534667969e-01
1.279280185699462891e-01,1.560506075620651245e-01,4.597846865653991699e-01,-2.117120921611785889e-01,2.094848453998565674e-02,3.413045108318328857e-01,9.948335587978363037e-02,1.931933313608169556e-01
6.673507690429687500e-01,5.492902994155883789e-01,2.422077655792236328e-01,-1.699202060699462891e-01,-8.601198792457580566e-01,4.180860519409179688e-01,1.575489640235900879e-01,-4.037435054779052734e-01
3.654963970184326172e-01,-2.980300411581993103e-02,1.326261460781097412e-01,-8.742216229438781738e-02,-3.365187048912048340e-01,4.057241231203079224e-02,-1.023020297288894653e-01,-2.288370132446289062e-01
3.090826869010925293e-01,-3.888817876577377319e-02,1.353845149278640747e-01,-2.004425227642059326e-01,-3.302057981491088867e-01,-3.026996180415153503e-02,-1.067943572998046875e-01,-2.756884098052978516e-01
7.121133804321289062e-01,8.802326917648315430e-01,4.970299005508422852e-01,-9.450255334377288818e-02,-9.802231788635253906e-01,8.799583315849304199e-01,4.443315267562866211e-01,-1.312456429004669189e-01
1.077505052089691162e-01,-3.408266901969909668e-01,2.968740761280059814e-01,8.033540844917297363e-02,2.284020930528640747e-01,-6.660641729831695557e-02,-3.221369981765747070e-01,-1.421730220317840576e-02
6.710560321807861328e-01,7.363502383232116699e-01,5.964060425758361816e-01,-2.213151752948760986e-01,-1.075570464134216309e+00,5.252815485000610352e-01,2.332431077957153320e-01,-3.504441082477569580e-01
4.144643545150756836e-01,2.350168973207473755e-01,4.330080747604370117e-01,-3.161145448684692383e-01,-7.085368633270263672e-01,1.285580694675445557e-01,2.313373386859893799e-01,-1.719937920570373535e-01
3.425588607788085938e-01,2.888103723526000977e-01,2.888391613960266113e-01,-3.930594027042388916e-02,-3.355535268783569336e-01,3.878683149814605713e-01,1.721598803997039795e-01,-5.201849341392517090e-02
4.141003489494323730e-01,-7.028144598007202148e-02,1.370843350887298584e-01,-1.535726785659790039e-01,-3.278246521949768066e-01,-1.338521391153335571e-02,5.316861346364021301e-02,1.334502547979354858e-02
6.412771940231323242e-01,9.492390155792236328e-01,6.841542124748229980e-01,-2.252382040023803711e-01,-1.059500336647033691e+00,9.560710191726684570e-01,4.982965290546417236e-01,8.376017212867736816e-04
5.002546906471252441e-01,3.147739171981811523e-01,2.512486577033996582e-01,-1.446277499198913574e-01,-5.901207923889160156e-01,2.962707579135894775e-01,1.404251903295516968e-01,-6.234990060329437256e-02
9.800258278846740723e-02,-4.364483356475830078e-01,3.353275656700134277e-01,7.134738564491271973e-02,2.300520092248916626e-01,-4.081834107637405396e-02,-3.026129901409149170e-01,-9.173187613487243652e-02
4.557983875274658203e-01,3.386529684066772461e-01,2.142386436462402344e-01,-3.348414003849029541e-01,-5.777338147163391113e-01,1.683632731437683105e-01,8.138743042945861816e-02,-2.329646348953247070e-01
5.533865690231323242e-01,6.957552433013916016e-01,4.027951061725616455e-01,-2.922139465808868408e-01,-6.772809624671936035e-01,5.235197544097900391e-01,2.819753885269165039e-01,-1.920269131660461426e-01
5.292847156524658203e-01,3.246489763259887695e-01,3.657288253307342529e-01,-1.840668022632598877e-01,-7.879115939140319824e-01,4.329468607902526855e-01,3.039080202579498291e-01,-1.759306490421295166e-01
1.698171794414520264e-01,-3.270281851291656494e-01,2.568290829658508301e-01,8.115455508232116699e-02,1.148339956998825073e-01,-9.183402359485626221e-02,-4.015370905399322510e-01,-2.831805348396301270e-01
1.549633443355560303e-01,-3.259310424327850342e-01,3.551359772682189941e-01,-2.722205221652984619e-02,1.214802712202072144e-01,-1.895652413368225098e-01,-3.954038321971893311e-01,-2.566662728786468506e-01
4.695002436637878418e-01,1.024390161037445068e-01,7.408408820629119873e-02,-9.460057318210601807e-02,-5.369127392768859863e-01,1.544407606124877930e-01,2.958387881517410278e-02,-2.009787559509277344e-01
4.943289160728454590e-01,2.245448976755142212e-01,1.125221550464630127e-01,-3.446709513664245605e-01,-6.385498642921447754e-01,1.222853735089302063e-01,1.332624256610870361e-01,-3.245308995246887207e-01
7.574758529663085938e-01,1.082759857177734375e+00,7.688909173011779785e-01,-1.851965487003326416e-01,-1.240814208984375000e+00,1.003810048103332520e+00,4.841429293155670166e-01,-1.731669902801513672e-01
4.578356146812438965e-01,1.099074482917785645e-01,6.550120562314987183e-02,-5.135855078697204590e-02,-4.301971197128295898e-01,1.728986799716949463e-01,1.895557716488838196e-02,-7.262605428695678711e-02
5.374221205711364746e-01,1.965016275644302368e-01,1.202807351946830750e-01,-7.472025603055953979e-02,-5.617495775222778320e-01,2.539828419685363770e-01,9.090472757816314697e-02,-1.668226122856140137e-01
3.475136160850524902e-01,2.350487262010574341e-01,4.232704341411590576e-01,-2.703796625137329102e-01,-4.947505593299865723e-01,3.377518653869628906e-01,1.691795289516448975e-01,2.298630028963088989e-01
1.514867693185806274e-01,2.827811837196350098e-01,4.507300257682800293e-01,-1.965477764606475830e-01,-3.822572231292724609e-01,5.606631040573120117e-01,6.027485132217407227e-01,3.331034183502197266e-01
4.719933867454528809e-01,5.002102851867675781e-01,3.930614888668060303e-01,-1.217832639813423157e-01,-7.161611318588256836e-01,6.828166246414184570e-01,5.845251679420471191e-01,7.812881469726562500e-02
1.651935875415802002e-01,-3.276164531707763672e-01,2.384636551141738892e-01,5.115818977355957031e-02,1.903938204050064087e-01,-1.406836062669754028e-01,-3.497276604175567627e-01,-4.417374730110168457e-02
6.880177259445190430e-01,6.766262650489807129e-01,2.393895536661148071e-01,-5.779652297496795654e-02,-7.832667827606201172e-01,6.425281763076782227e-01,2.952840626239776611e-01,-2.729320526123046875e-01
4.199439883232116699e-01,2.945336103439331055e-01,1.145155057311058044e-01,-3.365019559860229492e-01,-5.459712743759155273e-01,1.434843242168426514e-01,4.560201242566108704e-02,-2.896077036857604980e-01
2.873553037643432617e-01,6.181412339210510254e-01,5.556463003158569336e-01,-2.850149571895599365e-01,-3.478634655475616455e-01,7.003966569900512695e-01,4.872163236141204834e-01,2.445623874664306641e-01
4.827902913093566895e-01,7.096631526947021484e-01,7.526509165763854980e-01,-1.936566233634948730e-01,-1.193194746971130371e+00,1.212464213371276855e+00,9.560971856117248535e-01,1.505380123853683472e-01
2.617185711860656738e-01,-2.433152645826339722e-01,2.969546020030975342e-01,-4.940803349018096924e-02,-3.140874207019805908e-02,-1.134289354085922241e-01,-1.417689770460128784e-01,1.790052652359008789e-02
3.861193656921386719e-01,6.755441427230834961e-03,9.440220892429351807e-02,-1.197677254676818848e-01,-3.982025384902954102e-01,5.562446266412734985e-02,-3.580277413129806519e-02,-1.697455048561096191e-01
6.566694974899291992e-01,7.042589187622070312e-01,3.389213085174560547e-01,-2.058998644351959229e-01,-8.886944651603698730e-01,4.883895516395568848e-01,1.972545087337493896e-01,-3.923631310462951660e-01
5.473071336746215820e-02,-3.607584238052368164e-01,2.760029733180999756e-01,1.179459691047668457e-01,1.983118802309036255e-01,6.473020464181900024e-02,-1.607566773891448975e-01,1.122022420167922974e-01
2.911804616451263428e-01,-2.829251289367675781e-01,1.619380265474319458e-01,-7.012129575014114380e-02,-6.040826439857482910e-03,-1.428335309028625488e-01,-1.142680495977401733e-01,6.671813130378723145e-02
3.641389310359954834e-01,1.553409695625305176e-01,1.507713049650192261e-01,-3.743301033973693848e-01,-5.039895772933959961e-01,1.534827053546905518e-03,3.660074248909950256e-02,-2.461666464805603027e-01
2.337343841791152954e-01,-1.130715832114219666e-01,2.082020789384841919e-01,-7.972025126218795776e-02,-1.138735190033912659e-01,1.226297765970230103e-02,-1.338544487953186035e-01,-6.942436099052429199e-02
2.736570537090301514e-01,-2.442620843648910522e-01,1.632257997989654541e-01,-4.501268267631530762e-03,-1.564952731132507324e-01,-7.653111964464187622e-02,-2.357829809188842773e-01,-2.554329633712768555e-01
4.426770210266113281e-01,2.150086313486099243e-01,2.328515201807022095e-01,-2.610506117343902588e-02,-3.847196698188781738e-01,3.097352385520935059e-01,1.468490660190582275e-01,6.245002150535583496e-03
5.245833396911621094e-01,3.742114901542663574e-01,3.677715361118316650e-01,-2.499751448631286621e-01,-7.013018727302551270e-01,2.386814355850219727e-01,1.352805644273757935e-01,-1.563689410686492920e-01
5.543190240859985352e-01,7.288020849227905273e-01,2.951276600360870361e-01,-3.624055981636047363e-01,-7.018638253211975098e-01,5.506369471549987793e-01,2.081521898508071899e-01,-3.613964021205902100e-01
5.889715552330017090e-01,9.575099945068359375e-01,6.698712706565856934e-01,-4.712387919425964355e-01,-1.003722429275512695e+00,6.417168378829956055e-01,2.084860205650329590e-01,-4.261826872825622559e-01
3.069591522216796875e-01,-4.773055016994476318e-02,1.748271584510803223e-01,-4.452425241470336914e-02,-1.625539064407348633e-01,9.965499490499496460e-02,-6.297554075717926025e-02,-1.154060661792755127e-02
1.801359355449676514e-01,-2.245075106620788574e-01,1.698301285505294800e-01,-6.303209811449050903e-02,2.366529405117034912e-02,-2.422352507710456848e-02,-1.893985420465469360e-01,2.590422332286834717e-02
6.352903842926025391e-01,9.591403007507324219e-01,9.363481402397155762e-01,-3.424454331398010254e-01,-1.239739418029785156e+00,8.145203590393066406e-01,3.668105602264404297e-01,-1.076925396919250488e-01
3.512898385524749756e-01,-1.306722164154052734e-01,1.633792817592620850e-01,-1.104829609394073486e-01,-2.607316970825195312e-01,1.041118428111076355e-01,8.076846599578857422e-03,-6.950709223747253418e-02
7.032564282417297363e-02,-3.753038644790649414e-01,2.777233421802520752e-01,5.131721496582031250e-02,1.385928839445114136e-01,8.846794813871383667e-02,-1.877576410770416260e-01,3.434080630540847778e-02
6.744812130928039551e-01,3.166640400886535645e-01,3.822694122791290283e-01,1.286245882511138916e-02,-8.373462557792663574e-01,3.700551688671112061e-01,1.799925118684768677e-01,-8.611455559730529785e-02
6.970576047897338867e-01,4.999402165412902832e-01,2.934336662292480469e-01,-1.514230668544769287e-01,-9.252895712852478027e-01,4.099643230438232422e-01,1.746686995029449463e-01,-3.833442926406860352e-01
8.943389356136322021e-02,-3.406948447227478027e-01,3.321461081504821777e-01,1.392481923103332520e-01,2.268318682909011841e-01,-2.389729768037796021e-02,-2.614319920539855957e-01,1.027619093656539917e-02
5.240579843521118164e-01,4.172222018241882324e-01,3.797625005245208740e-01,-2.029448002576828003e-01,-7.552371025085449219e-01,3.531097173690795898e-01,1.663054823875427246e-01,-9.297640621662139893e-02
6.041725873947143555e-01,7.127705812454223633e-01,1.557229906320571899e-01,-3.399643301963806152e-01,-8.499947190284729004e-01,5.211893320083618164e-01,1.272593289613723755e-01,-5.943863391876220703e-01
2.612362504005432129e-01,4.113037586212158203e-01,4.470161497592926025e-01,-3.146343231201171875e-01,-3.295433521270751953e-01,4.626130461692810059e-01,3.418118357658386230e-01,1.920233666896820068e-01
1.508677899837493896e-01,-4.646468758583068848e-01,3.353222310543060303e-01,6.730915606021881104e-02,2.552512884140014648e-01,-2.172573506832122803e-01,-3.662816286087036133e-01,-1.347679793834686279e-01
4.746014177799224854e-01,2.788882851600646973e-01,2.003107517957687378e-01,-5.377691984176635742e-02,-6.258713603019714355e-01,3.706141412258148193e-01,3.243058621883392334e-01,-9.354533255100250244e-02
5.517838001251220703e-01,8.052970170974731445e-01,4.302874803543090820e-01,-3.903462290763854980e-01,-7.220062017440795898e-01,5.965158939361572266e-01,2.699377238750457764e-01,-2.906422913074493408e-01
1.773755252361297607e-01,-3.172979354858398438e-01,1.878104060888290405e-01,-1.189284026622772217e-02,9.421552717685699463e-02,-1.639513671398162842e-01,-3.023562431335449219e-01,-7.589912414550781250e-02
4.285448193550109863e-01,1.371911317110061646e-01,2.138798236846923828e-01,-2.749223709106445312e-01,-4.946504235267639160e-01,3.879105299711227417e-02,6.947518885135650635e-02,-9.256516396999359131e-02
6.193751692771911621e-01,8.586238026618957520e-01,5.496579408645629883e-01,-4.349154233932495117e-02,-8.981097936630249023e-01,1.190785646438598633e+00,9.020972251892089844e-01,2.525757551193237305e-01
4.342615902423858643e-01,2.425347417593002319e-01,4.251594543457031250e-01,-2.441178858280181885e-01,-7.894631028175354004e-01,3.391591310501098633e-01,1.647247076034545898e-01,7.166212052106857300e-02
5.915672779083251953e-01,6.941277384757995605e-01,4.186721444129943848e-01,-1.494124680757522583e-01,-7.980343103408813477e-01,7.211423516273498535e-01,5.104618668556213379e-01,-6.194716691970825195e-02
5.710928440093994141e-01,3.286706209182739258e-01,4.870496988296508789e-01,-1.166130229830741882e-01,-8.187621831893920898e-01,2.976652383804321289e-01,1.565162539482116699e-01,-3.207303583621978760e-02
5.139235258102416992e-01,1.774029284715652466e-01,1.154533773660659790e-01,-3.422415256500244141e-02,-6.179758906364440918e-01,2.922283411026000977e-01,1.584723144769668579e-01,-2.161979079246520996e-01
1.314380168914794922e-01,-4.776797890663146973e-01,3.814197182655334473e-01,1.732417643070220947e-01,3.859729766845703125e-01,-1.923171877861022949e-01,-4.946842491626739502e-01,-1.105747669935226440e-01
4.180942177772521973e-01,5.140807032585144043e-01,1.816333681344985962e-01,-4.567623734474182129e-01,-5.659957528114318848e-01,3.163947761058807373e-01,8.356012403964996338e-02,-3.614044785499572754e-01
4.654138088226318359e-01,3.544232845306396484e-01,7.678473740816116333e-02,-3.226733505725860596e-01,-6.783477663993835449e-01,2.244378328323364258e-01,7.040306925773620605e-02,-4.268485903739929199e-01
4.507092833518981934e-01,1.181916147470474243e-01,1.840423643589019775e-01,-2.181500196456909180e-03,-4.144202768802642822e-01,1.963770091533660889e-01,4.797123000025749207e-02,-1.395386159420013428e-01
4.741465449333190918e-01,1.738066226243972778e-01,6.966178864240646362e-02,-2.259304374456405640e-01,-6.814279556274414062e-01,1.436619162559509277e-01,7.317098975181579590e-02,-3.447072803974151611e-01
8.558573126792907715e-01,7.146347165107727051e-01,5.057618021965026855e-01,-2.759546041488647461e-03,-1.165626287460327148e+00,7.504227161407470703e-01,3.936610817909240723e-01,-3.523493409156799316e-01
6.178105473518371582e-01,7.342810630798339844e-01,8.404435515403747559e-01,-2.600699067115783691e-01,-1.212824225425720215e+00,8.332126736640930176e-01,4.594462513923645020e-01,4.796443134546279907e-02
2.854730784893035889e-01,4.780587553977966309e-01,5.346583127975463867e-01,-1.921085268259048462e-01,-5.951365232467651367e-01,8.901601433753967285e-01,7.868343591690063477e-01,4.153696000576019287e-01
2.396594136953353882e-01,-6.980594992637634277e-02,1.598116904497146606e-01,-2.070553600788116455e-01,-1.360854804515838623e-01,-8.009679615497589111e-02,-1.619389057159423828e-01,-1.502124071121215820e-01
1.365205794572830200e-01,-3.353792428970336914e-01,2.845138907432556152e-01,7.049384713172912598e-02,2.515308856964111328e-01,-1.072799041867256165e-01,-3.814083635807037354e-01,-6.034730374813079834e-02
1.406612992286682129e-01,-1.226268857717514038e-01,2.898375689983367920e-01,5.502742528915405273e-02,7.009148597717285156e-03,1.706813871860504150e-01,6.263627111911773682e-02,1.815399080514907837e-01
2.163724899291992188e-01,-3.597729280591011047e-02,2.646786272525787354e-01,-1.774400472640991211e-01,-2.551472187042236328e-02,2.812045067548751831e-02,-1.656947582960128784e-01,-6.104233860969543457e-02
5.254480838775634766e-01,2.201206535100936890e-01,4.777252674102783203e-01,-1.423461735248565674e-01,-6.901076436042785645e-01,1.638471186161041260e-01,1.742275059223175049e-01,5.022897943854331970e-02
